levels,pairspace_dim,g,eta,exact_pairspace_energy,source_pair_norm,bcs_pair_norm,relative_source_profile_error,leading_pair_density_eigenvalue,relative_pair_density_residual
9,512,0.7,0.0001,-18.95143953425765,0.0019533460355391943,1.432443787182534,0.9986371476706648,2.565248282123829,0.3633320144779568
9,512,0.7,0.00023269181687763618,-18.951442116596215,0.00454524909496853,1.432443787182534,0.9968287765397227,2.5652480074785298,0.3633319767086127
9,512,0.7,0.0005414548164181542,-18.95145609852365,0.010576078951721012,1.432443787182534,0.9926210805815017,2.565246520492097,0.3633317722191833
9,512,0.7,0.001259921049894874,-18.951531796454496,0.024605340727211485,1.432443787182534,0.9828329790282708,2.565238471880305,0.3633306654263601
9,512,0.7,0.0029317331822241717,-18.95194143555431,0.057200162665322525,1.432443787182534,0.9600922944224979,2.56519497267678,0.3633246850753857
9,512,0.7,0.006821903207721965,-18.954152718558063,0.13242059797991573,1.432443787182534,0.907615312422274,2.564961774773616,0.36329266410445116
9,512,0.7,0.015874010519682003,-18.965935333365337,0.29999225705646815,1.432443787182534,0.7907264311067482,2.563763522172492,0.36312916158516395
9,512,0.7,0.036937523489595184,-19.025014540392004,0.6173053248401756,1.432443787182534,0.569485789463341,2.5587009220618713,0.36245522830982063
9,512,0.7,0.08595059451754268,-19.269798097456395,0.9851973963696303,1.432443787182534,0.31340409188452956,2.5469588724919787,0.36087842020719546
9,512,0.7,0.2,-20.03893621485197,1.2102440713421778,1.432443787182534,0.1575798771901401,2.5360683204804086,0.3579627692356839
10,1024,0.7,0.0001,-22.42718720441036,0.016114474232600352,1.5242100650654211,0.9894322591610565,2.8142033903560253,0.29545724944604257
10,1024,0.7,0.00023269181687763618,-22.427209663753782,0.03746944479545482,1.5242100650654211,0.9754279971304481,2.8142010021131583,0.2954880620652352
10,1024,0.7,0.0005414548164181542,-22.427330984866668,0.08684289676886833,1.5242100650654211,0.9430503545759803,2.814188200679586,0.29565373827295793
10,1024,0.7,0.001259921049894874,-22.427979717278014,0.19788927670238537,1.5242100650654211,0.8702335415364755,2.8141224944662007,0.2965181933656889
10,1024,0.7,0.0029317331822241717,-22.431282543426608,0.4167891671297853,1.5242100650654211,0.7267157361323943,2.8138482270462353,0.30042231854434076
10,1024,0.7,0.006821903207721965,-22.445482141504698,0.694396652637265,1.5242100650654211,0.5447786156236448,2.8132767346125434,0.31119386876208116
10,1024,0.7,0.015874010519682003,-22.49160802008376,0.875228991668639,1.5242100650654211,0.42634308332102805,2.8129123175453694,0.3237723604092392
10,1024,0.7,0.036937523489595184,-22.61750713090655,1.0000840764751306,1.5242100650654211,0.3446213279687433,2.8123559212260867,0.3308631653760407
10,1024,0.7,0.08595059451754268,-22.952583779702223,1.148675556999683,1.5242100650654211,0.2474796430076108,2.8095512983882243,0.33311636810486633
10,1024,0.7,0.2,-23.845410412454044,1.3038368281063586,1.5242100650654211,0.14638284324147866,2.8030302265514386,0.3320524418205458
